customer_id,age,gender,location,incomelevel,signupdate,total_spent,avg_spent,num_transactions,max_transaction,min_transaction,engagement_score,transactiondate,interactiondate,transactionid,interactionid,productcategory,paymentmethod,platform,interactiontype,sentiment,ishighspender,amount
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,1157.495,578.7475,2,660.87,496.625,2,2023-01-22,2024-01-11,504a03b0-294d-4e3c-9bf7-46935ba6c47a,0626cfe9-8e7f-4b19-ba9b-21330cd007c8,Clothing,Debit Card,Instagram,Comment,Negative,1.0,496.625
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,1157.495,578.7475,2,660.87,496.625,2,2023-01-22,2023-08-25,504a03b0-294d-4e3c-9bf7-46935ba6c47a,20320eb9-5f38-41f5-b855-e0a0880d8c46,Clothing,Debit Card,Facebook,Share,Positive,1.0,496.625
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,1157.495,578.7475,2,660.87,496.625,2,2022-09-14,2024-01-11,d4922534-dfd9-47d9-8fc8-d0421284b682,0626cfe9-8e7f-4b19-ba9b-21330cd007c8,Home & Garden,Bank Transfer,Instagram,Comment,Negative,1.0,660.87
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,1157.495,578.7475,2,660.87,496.625,2,2022-09-14,2023-08-25,d4922534-dfd9-47d9-8fc8-d0421284b682,20320eb9-5f38-41f5-b855-e0a0880d8c46,Home & Garden,Bank Transfer,Facebook,Share,Positive,1.0,660.87
5fb09cd8-a473-46f7-80bd-6e49cf509078,45.0,Female,Castilloport,High,2020-07-21,976.88,976.88,1,976.88,976.88,2,2022-11-11,2024-01-01,99917043-698e-4753-a1fb-61b4afdd4da3,3d962e49-3930-4131-aa8f-ad8753338770,Electronics,PayPal,Instagram,Share,Positive,0.0,976.88
5fb09cd8-a473-46f7-80bd-6e49cf509078,45.0,Female,Castilloport,High,2020-07-21,976.88,976.88,1,976.88,976.88,2,2022-11-11,2023-12-02,99917043-698e-4753-a1fb-61b4afdd4da3,eb016f64-afd0-4bd7-85e6-7b136b3c6e8c,Electronics,PayPal,Instagram,Share,Negative,0.0,976.88
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,2023-08-24,733.46,733.46,1,733.46,733.46,2,2024-05-22,2024-04-09,1c31455b-ee29-430d-b9c8-171ee90f90ba,89c2de5a-7b8a-4511-ae13-347df2b99e0d,Automotive,PayPal,Instagram,Like,Negative,0.0,733.46
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,2023-08-24,733.46,733.46,1,733.46,733.46,2,2024-05-22,2023-09-01,1c31455b-ee29-430d-b9c8-171ee90f90ba,4ecffff0-d9e7-4ca1-ad41-67d853c339ee,Automotive,PayPal,Twitter,Share,Positive,0.0,733.46
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2024-01-24,2023-10-15,8b7c550f-4acc-4333-a144-cc4d75aa8d1a,39bff46a-8e21-4bed-b9a9-16f9daef972f,Home & Garden,PayPal,Twitter,Comment,Positive,1.0,496.625
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2024-01-24,2024-05-15,8b7c550f-4acc-4333-a144-cc4d75aa8d1a,acf1fab3-5649-4b34-a348-97537b19954c,Home & Garden,PayPal,Instagram,Share,Positive,1.0,496.625
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2024-01-24,2023-09-05,8b7c550f-4acc-4333-a144-cc4d75aa8d1a,1938981d-34a2-4811-8c16-ec1482a1ea2a,Home & Garden,PayPal,Twitter,Share,Positive,1.0,496.625
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2022-09-28,2023-10-15,4c272502-6aca-4249-a7b3-29405eadc589,39bff46a-8e21-4bed-b9a9-16f9daef972f,Automotive,Bank Transfer,Twitter,Comment,Positive,1.0,276.46
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2022-09-28,2024-05-15,4c272502-6aca-4249-a7b3-29405eadc589,acf1fab3-5649-4b34-a348-97537b19954c,Automotive,Bank Transfer,Instagram,Share,Positive,1.0,276.46
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2022-09-28,2023-09-05,4c272502-6aca-4249-a7b3-29405eadc589,1938981d-34a2-4811-8c16-ec1482a1ea2a,Automotive,Bank Transfer,Twitter,Share,Positive,1.0,276.46
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2022-10-15,2023-10-15,37d37255-6fc0-4210-82b4-995cebe4cf8a,39bff46a-8e21-4bed-b9a9-16f9daef972f,Electronics,PayPal,Twitter,Comment,Positive,1.0,615.28
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2022-10-15,2024-05-15,37d37255-6fc0-4210-82b4-995cebe4cf8a,acf1fab3-5649-4b34-a348-97537b19954c,Electronics,PayPal,Instagram,Share,Positive,1.0,615.28
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,3,2022-10-15,2023-09-05,37d37255-6fc0-4210-82b4-995cebe4cf8a,1938981d-34a2-4811-8c16-ec1482a1ea2a,Electronics,PayPal,Twitter,Share,Positive,1.0,615.28
9f2128cd-2f2b-4f71-987c-29fd045021f0,45.0,Female,Lake Erin,Medium,2022-04-26,743.6,743.6,1,743.6,743.6,1,2023-03-22,2024-02-11,f9984090-562f-4b19-a818-ad5a6895078a,252122e0-ea99-4de6-8f51-1ce2c9211e8d,Home & Garden,Debit Card,Twitter,Like,Negative,0.0,743.6
40f5a5dd-a46f-4a5e-8c0f-fe04389ddec8,45.0,Female,Mariaberg,High,2024-02-18,1180.8899999999999,590.4449999999999,2,719.78,461.11,1,2024-04-17,2023-10-08,89c66686-cfbc-40ae-be34-488bcce40db0,ab0052d8-a0f0-4f9f-96d6-c0d67f1a9f3c,Health & Beauty,Credit Card,Instagram,Share,Negative,1.0,719.78
40f5a5dd-a46f-4a5e-8c0f-fe04389ddec8,45.0,Female,Mariaberg,High,2024-02-18,1180.8899999999999,590.4449999999999,2,719.78,461.11,1,2023-12-08,2023-10-08,4c3f1eb1-78a0-48d1-943c-8fcc84246308,ab0052d8-a0f0-4f9f-96d6-c0d67f1a9f3c,Electronics,Bank Transfer,Instagram,Share,Negative,1.0,461.11
aae60ad7-5553-4d10-a637-93d5dcc98e4a,45.0,Male,Brownfort,Low,2021-12-02,116.46,116.46,1,116.46,116.46,1,2023-07-02,2023-12-24,529c0e5b-1874-4815-be8c-6f2202725634,0a36d7a9-d0d3-4697-93ee-c0702b9ef9a0,Electronics,Bank Transfer,Facebook,Like,Positive,0.0,116.46
8602d631-457c-49c1-8b59-8efb2a4448d4,51.0,Male,East Keithville,High,2022-04-17,815.21,815.21,1,815.21,815.21,2,2022-08-08,2023-08-26,634cee29-fdc7-449f-8141-97a78982219c,834d9cb9-2465-4a36-a77e-1e47c7cf8673,Electronics,Bank Transfer,Twitter,Share,Positive,0.0,815.21
8602d631-457c-49c1-8b59-8efb2a4448d4,51.0,Male,East Keithville,High,2022-04-17,815.21,815.21,1,815.21,815.21,2,2022-08-08,2024-06-08,634cee29-fdc7-449f-8141-97a78982219c,a07d0772-b8c2-4352-a935-9ed67c6b08a5,Electronics,Bank Transfer,Instagram,Comment,Neutral,0.0,815.21
b2f4c25e-be11-4912-9d14-5c288616e56e,29.0,Male,South Timothyhaven,High,2023-07-09,533.94,533.94,1,533.94,533.94,2,2024-04-06,2024-06-14,a4ecc963-9419-4c11-a907-352ea2bb4bd9,e34703af-163c-43c9-a91b-d9e75c1d16b6,Clothing,Bank Transfer,Facebook,Like,Neutral,0.0,533.94
b2f4c25e-be11-4912-9d14-5c288616e56e,29.0,Male,South Timothyhaven,High,2023-07-09,533.94,533.94,1,533.94,533.94,2,2024-04-06,2024-04-02,a4ecc963-9419-4c11-a907-352ea2bb4bd9,507a1927-2a78-4050-a893-d6d0c64ae723,Clothing,Bank Transfer,Instagram,Like,Positive,0.0,533.94
fd63f236-3ec3-401d-9fa1-53bda0bd7c0e,45.0,Male,Thomasbury,Low,2021-05-29,31.09,31.09,1,31.09,31.09,1,2023-03-26,2024-04-23,a4549bba-a146-46fa-89c1-61cd7832120e,f12b89ac-7bc9-4976-aab9-ef48816551e1,Automotive,Bank Transfer,Instagram,Share,Negative,0.0,31.09
ef562111-91d8-47bc-a2b1-d6622604fd3d,61.0,Female,Loganbury,Low,2020-10-05,624.07,624.07,1,624.07,624.07,1,,2023-08-27,d0cb8601-66b0-4283-b83a-3f8197bed89d,10f096fa-d9da-4c6c-9537-2d80e560b9e6,Unknown,Debit Card,Instagram,Like,Neutral,0.0,624.07
88c11bb5-495a-4fa4-9dca-ba16c044b52f,29.0,Male,Cruzville,Unknown,2022-01-03,320.91,320.91,1,320.91,320.91,2,2024-05-16,2024-01-05,186b48d2-9ec6-4df1-a0ca-0dd1b42a0906,fa1954f4-0163-45a0-bac6-5527ab614dd9,Home & Garden,PayPal,Facebook,Comment,Neutral,0.0,320.91
88c11bb5-495a-4fa4-9dca-ba16c044b52f,29.0,Male,Cruzville,Unknown,2022-01-03,320.91,320.91,1,320.91,320.91,2,2024-05-16,2024-03-12,186b48d2-9ec6-4df1-a0ca-0dd1b42a0906,ba7df936-4848-4e50-b0d0-964a415b271d,Home & Garden,PayPal,Instagram,Share,Negative,0.0,320.91
36bc83c7-adc6-45b8-960d-685e9d19661e,32.0,Female,New Annafort,Medium,2020-01-21,649.14,649.14,1,649.14,649.14,2,2024-06-24,2023-09-18,b0b79aef-cc8f-4036-99d8-b26f6e7ed5d6,36ee04ee-eabd-4e24-b12b-52338c0d8632,Electronics,Debit Card,Twitter,Like,Negative,0.0,649.14
36bc83c7-adc6-45b8-960d-685e9d19661e,32.0,Female,New Annafort,Medium,2020-01-21,649.14,649.14,1,649.14,649.14,2,2024-06-24,2023-12-05,b0b79aef-cc8f-4036-99d8-b26f6e7ed5d6,e982d98b-3538-4bae-9539-7e7cdf258022,Electronics,Debit Card,Instagram,Share,Positive,0.0,649.14
a800ccba-e1ca-4f52-ad9f-14f3432699c9,45.0,Male,Randyton,Unknown,2022-10-16,104.72999999999999,52.364999999999995,2,204.73,-100.0,2,2023-09-25,2024-01-03,487ecd9b-57c8-447c-a2a8-e55477ba0d6d,af1217d1-e174-4575-9df2-b3c56c804832,Clothing,Bank Transfer,Instagram,Like,Neutral,0.0,-100.0
a800ccba-e1ca-4f52-ad9f-14f3432699c9,45.0,Male,Randyton,Unknown,2022-10-16,104.72999999999999,52.364999999999995,2,204.73,-100.0,2,2023-09-25,2023-07-08,487ecd9b-57c8-447c-a2a8-e55477ba0d6d,30a13c94-142d-4aa3-89d5-07fbc4f65b0d,Clothing,Bank Transfer,Facebook,Share,Neutral,0.0,-100.0
a800ccba-e1ca-4f52-ad9f-14f3432699c9,45.0,Male,Randyton,Unknown,2022-10-16,104.72999999999999,52.364999999999995,2,204.73,-100.0,2,2023-07-19,2024-01-03,57f54b77-b69f-4921-b643-0f39baadec37,af1217d1-e174-4575-9df2-b3c56c804832,Unknown,PayPal,Instagram,Like,Neutral,0.0,204.73
a800ccba-e1ca-4f52-ad9f-14f3432699c9,45.0,Male,Randyton,Unknown,2022-10-16,104.72999999999999,52.364999999999995,2,204.73,-100.0,2,2023-07-19,2023-07-08,57f54b77-b69f-4921-b643-0f39baadec37,30a13c94-142d-4aa3-89d5-07fbc4f65b0d,Unknown,PayPal,Facebook,Share,Neutral,0.0,204.73
3151b4f8-afe8-405a-b152-aa1cc8616f05,64.0,Male,East Brianfort,Low,2024-02-06,154.02,154.02,1,154.02,154.02,1,2023-12-31,,2c4d5cce-0134-405e-b015-2d6eab352444,fa4ef880-867d-40a4-a5d8-53c9ba630672,Health & Beauty,PayPal,Instagram,Comment,Positive,0.0,154.02
